iter	Passed	Remaining
531	605	532
532	607	532
533	610	532
534	611	531
535	614	531
536	616	531
537	620	532
538	623	533
539	625	533
540	628	533
541	630	532
542	633	533
543	634	531
544	636	531
545	639	532
546	640	530
547	641	529
548	642	527
549	649	531
550	651	531
551	653	530
552	656	530
553	660	531
554	662	531
555	663	529
556	664	528
557	664	526
558	665	524
559	667	524
560	672	526
561	674	525
562	675	524
563	677	523
564	678	522
565	680	521
566	682	521
567	685	521
568	686	520
569	687	518
570	687	516
571	688	515
572	689	513
573	689	511
574	691	510
575	691	509
576	692	507
577	693	506
578	693	504
579	694	502
580	695	501
581	696	500
582	697	498
583	698	497
584	699	495
585	699	494
586	700	492
587	700	491
588	701	489
589	702	488
590	702	486
591	703	484
592	704	483
593	705	481
594	706	480
595	707	479
596	708	478
597	708	476
598	709	474
599	711	474
600	712	472
601	714	472
602	716	471
603	717	470
604	718	468
605	718	467
606	720	466
607	723	466
608	724	465
609	726	464
610	726	462
611	727	461
612	727	459
613	728	457
614	731	457
615	731	456
616	732	454
617	733	453
618	733	451
619	734	450
620	737	450
621	738	448
622	740	448
623	741	446
624	742	445
625	742	443
626	743	442
627	743	440
628	744	439
629	744	437
630	745	436
631	746	434
632	746	433
633	747	431
634	748	430
635	748	428
636	753	429
637	755	428
638	757	427
639	758	426
640	763	427
641	765	426
642	765	425
643	770	425
644	773	425
645	774	424
646	775	423
647	776	421
648	778	420
649	779	419
650	781	418
651	782	417
652	783	416
653	785	415
654	786	414
655	787	412
656	788	411
657	789	410
658	790	408
659	792	408
660	794	407
661	795	406
662	796	404
663	797	403
664	799	402
665	801	401
666	801	400
667	803	399
668	805	398
669	807	397
670	808	396
671	810	395
672	811	394
673	812	393
674	816	393
675	819	392
676	824	393
677	824	391
678	832	393
679	837	393
680	839	393
681	842	392
682	844	391
683	844	390
684	845	388
685	849	388
686	852	388
687	854	387
688	856	386
689	857	385
690	863	385
691	866	385
692	869	385
693	870	383
694	871	382
695	879	383
696	882	383
697	884	382
698	886	381
699	887	380
700	889	379
701	891	378
702	893	377
703	893	375
704	894	374
705	895	372
706	896	371
707	897	370
708	898	368
709	899	367
710	899	365
711	900	364
712	901	362
713	902	361
714	903	359
715	903	358
716	904	357
717	905	355
718	906	354
719	908	353
720	915	354
721	917	353
722	920	352
723	922	351
724	923	350
725	924	349
726	928	348
727	930	347
728	932	346
729	933	345
730	935	344
731	936	342
732	937	341
733	938	339
734	939	338
735	940	337
736	941	336
737	942	334
738	943	333
739	945	332
740	946	330
741	947	329
742	948	328
743	951	327
744	953	326
745	954	324
746	954	323
747	957	322
748	959	321
749	962	320
750	962	319
751	963	317
752	964	316
753	970	316
754	972	315
755	975	314
756	978	314
757	979	312
758	982	311
759	985	311
760	987	310
761	989	309
762	992	308
763	994	307
764	996	306
765	998	304
766	1000	303
767	1001	302
768	1003	301
769	1005	300
770	1008	299
771	1010	298
772	1012	297
773	1013	295
774	1016	295
775	1019	294
776	1021	293
777	1022	291
778	1023	290
779	1024	288
780	1024	287
781	1025	285
782	1025	284
783	1026	282
784	1026	281
785	1027	279
786	1027	278
787	1028	276
788	1029	275
789	1030	273
790	1031	272
791	1031	270
792	1032	269
793	1032	267
794	1033	266
795	1033	264
796	1033	263
797	1034	261
798	1034	260
799	1035	258
800	1035	257
801	1036	255
802	1036	254
803	1037	252
804	1037	251
805	1038	249
806	1038	248
807	1039	246
808	1039	245
809	1039	243
810	1040	242
811	1041	241
812	1042	239
813	1042	238
814	1042	236
815	1043	235
816	1043	233
817	1044	232
818	1045	230
819	1045	229
820	1046	228
821	1046	226
822	1047	225
823	1047	223
824	1048	222
825	1048	220
826	1049	219
827	1049	218
828	1050	216
829	1050	215
830	1051	213
831	1051	212
832	1052	210
833	1052	209
834	1053	208
835	1053	206
836	1054	205
837	1054	203
838	1055	202
839	1055	201
840	1056	199
841	1056	198
842	1057	196
843	1058	195
844	1059	194
845	1059	192
846	1060	191
847	1060	190
848	1061	188
849	1061	187
850	1061	185
851	1062	184
852	1062	183
853	1064	182
854	1065	180
855	1065	179
856	1066	177
857	1066	176
858	1067	175
859	1067	173
860	1068	172
861	1068	171
862	1069	169
863	1069	168
864	1070	167
865	1070	165
866	1070	164
867	1071	162
868	1071	161
869	1076	160
870	1078	159
871	1080	158
872	1080	157
873	1080	155
874	1081	154
875	1081	153
876	1082	151
877	1082	150
878	1083	149
879	1083	147
880	1084	146
881	1084	145
882	1085	143
883	1085	142
884	1086	141
885	1086	139
886	1087	138
887	1087	137
888	1087	135
889	1088	134
890	1088	133
891	1089	131
892	1090	130
893	1090	129
894	1091	128
895	1091	126
896	1092	125
897	1092	124
898	1094	123
899	1095	121
900	1095	120
901	1096	119
902	1096	117
903	1097	116
904	1097	115
905	1097	113
906	1098	112
907	1098	111
908	1098	110
909	1099	108
910	1099	107
911	1100	106
912	1101	104
913	1101	103
914	1102	102
915	1102	101
916	1103	99
917	1103	98
918	1104	97
919	1106	96
920	1107	94
921	1109	93
922	1109	92
923	1110	91
924	1110	90
925	1111	88
926	1111	87
927	1112	86
928	1112	85
929	1112	83
930	1113	82
931	1113	81
932	1113	79
933	1114	78
934	1114	77
935	1115	76
936	1115	75
937	1116	73
938	1116	72
939	1117	71
940	1117	70
941	1118	68
942	1118	67
943	1119	66
944	1120	65
945	1120	63
946	1121	62
947	1122	61
948	1122	60
949	1123	59
950	1123	57
951	1124	56
952	1124	55
953	1125	54
954	1125	53
955	1126	51
956	1126	50
957	1127	49
958	1127	48
959	1128	47
960	1128	45
961	1129	44
962	1130	43
963	1130	42
964	1131	41
965	1131	39
966	1132	38
967	1132	37
968	1133	36
969	1133	35
970	1134	33
971	1135	32
972	1135	31
973	1136	30
974	1137	29
975	1137	27
976	1138	26
977	1138	25
978	1139	24
979	1139	23
980	1140	22
981	1140	20
982	1141	19
983	1141	18
984	1142	17
985	1142	16
986	1143	15
987	1143	13
988	1144	12
989	1146	11
990	1147	10
991	1148	9
992	1152	8
993	1153	6
994	1154	5
995	1156	4
996	1157	3
997	1158	2
998	1160	1
999	1162	0
